"","source","lon","lat","z","Tg","PPFD","vpd","alpha","nhx","noy","ndep","nre","pft"
"96","Du",-82.6,39.6,329,14.4914297899305,389.684441326532,0.798339441959446,0.988285706976447,0.414708037125437,1.09359312057495,1.50830115770039,0.467125,"forest"
"97","Du",115.5,39.92,869,13.9710650085447,446.558410927819,1.06898720628839,0.906621617703027,0.775435293975629,0.724009830700724,1.49944512467635,0.681661147166667,"forest"
"98","Du",-7.33,40.17,451,18.3037863625025,443.361471844562,1.11770304986139,0.884775234701461,0.206341292513044,0.380805740230962,0.587147032744006,0.441008,"forest"
"99","Du",-6.72,40.32,894,15.615781140399,427.571748904699,1.01004668435484,0.894808805214958,0.352832891439137,0.383450105002052,0.736282996441189,0.35,"forest"
"100","Du",96.88,40.87,1707,13.6366518782051,531.850825693609,1.20312842937237,0.451681473163331,0.0662644583927958,0.0760333373358375,0.142297795728633,0.5177305,"forest"
"101","Du",40.94,40.9,1424,12.9055358046764,406.213179224404,0.854171778573883,0.95406604437105,0.307463324383685,0.341741340725045,0.649204665108731,0.449,"forest"
"102","Du",14.02,40.93,4,19.3803928534956,421.871736025264,1.00795068513966,0.893274547256681,0.324064182607751,0.483697326559769,0.807761509167521,0.65251,"forest"
"103","Du",40.95,40.98,771,15.252858744257,389.350781762013,0.908298190536866,0.970411881307363,0.307463324383685,0.341741340725045,0.649204665108731,0.417,"forest"
"104","Du",-5.7,41,783,16.4471690445595,431.966418032306,1.09354327977872,0.885062101736328,0.792307637239757,0.391383167944456,1.18369080518421,0.55859819685,"forest"
"105","Du",40.99,41,611,15.8114276692104,384.93275180509,0.919078085792619,0.974840122552731,0.307463324383685,0.341741340725045,0.649204665108731,0.416,"forest"
"106","Du",-71.57,41.41,51,14.0279340388949,390.522661975427,0.777076486669411,0.981633050729535,0.141405175390996,0.811817824840546,0.953223000231542,0.545,"forest"
"107","Du",1.02,41.67,288,18.742395198005,443.706996189903,1.10993865316951,0.893709528444223,0.307779850144135,0.345704277879313,0.653484128023449,0.583,"forest"
"108","Du",2.4,41.8,1333,12.1139006135289,421.052537626172,0.672970061210866,0.96470716861527,0.196474807827096,0.324501164649662,0.520975972476758,0.436,"forest"
"109","Du",124.91,41.85,718,14.6888979388352,419.729079765984,0.813594350053493,0.998657949991409,0.632338370147504,0.495098341452448,1.12743671159995,0.664875318,"forest"
"110","Du",8.86,42.14,812,13.8559078486626,418.11649237743,0.582991494770593,0.914418523922265,0.153531455679944,0.357519069784566,0.51105052546451,0.5738038384,"forest"
"111","Du",-72.18,42.53,361,11.982222386895,355.504127730229,0.723490209462878,0.994994899789715,0.186664338958891,1.07590132638028,1.26256566533917,0.6367541231,"forest"
"112","Du",122.37,42.71,245,14.7304862244958,449.179554248904,0.956243552190171,0.926327323051853,0.840031410518445,0.453666478395462,1.29369788891391,0.702,"forest"
"113","Du",119.02,42.92,635,14.3453647500064,450.417625900908,1.03370114259946,0.888274617662495,0.853525149194818,0.361239218398144,1.21476436759296,0.5249744,"forest"
"114","Du",120.72,42.97,351,14.9455439153096,452.392209862765,1.01567688142609,0.902292185784259,0.853525149194818,0.361239218398144,1.21476436759296,0.59232,"forest"
"115","Du",-71.3,44.06,272,11.3080688726646,361.648861647447,0.638117484489548,0.993818806921385,0.176603919581363,0.800853396716871,0.977457316298234,0.6750282397,"forest"
"116","Du",2.37,44.16,482,15.0597781270695,380.763958082575,0.795596259209142,0.956320744244615,0.607856268945493,0.50890893057773,1.11676519952322,0.4653611781,"forest"
"117","Du",10.4,44.23,1647,4.934804647901,405.743810634452,0.0712513313918189,0.98709843060253,0.576160145433325,0.628458233256089,1.20461837868941,0.6694264,"forest"
"118","Du",87.93,44.28,477,17.212791036955,466.221915835074,1.5069014466149,0.767733925287061,0.196156342562876,0.111863515878979,0.308019858441855,0.313,"forest"
"119","Du",1.08,44.76,205,15.8256272746898,362.182712205031,0.78832803271329,0.959785587712952,0.568462662006679,0.497340903470391,1.06580356547707,0.6040375403,"forest"
"120","Du",6.61,44.84,2183,5.64329986411708,387.316279612472,0.348114136602121,0.992269392100588,0.525340717089804,0.554555478848909,1.07989619593871,0.6178341815,"forest"
"121","Du",-78.17,45.33,438,11.3936300229563,382.870777084587,0.57022062715874,0.991263807620693,0.258868456671112,0.694445578675521,0.953314035346634,0.6839393939,"forest"
"122","Du",127.53,45.38,337,13.9349106102012,423.236460557309,0.7964694903611,0.9844579744978,0.935246696597651,0.342489181380523,1.27773587797817,0.57272,"forest"
"123","Du",5.03,45.53,354,14.2361632793929,360.782543645495,0.730811637762851,0.975875060607595,0.591062649300224,0.594950842229944,1.18601349153017,0.3912403893,"forest"
"124","Du",-75.83,45.67,310,11.7232276818116,376.680423701414,0.585529145107384,0.994001644886658,0.234816563756842,0.704539487236424,0.939356050993267,0.36395925,"forest"
"125","Du",3.82,46.09,980,11.5607846625497,366.048977922582,0.602178937285201,0.982172587101734,0.805822033631174,0.557120373374537,1.36294240700571,0.569982975,"forest"
"126","Du",4.96,46.24,186,14.5730642664064,340.406792940927,0.719560685156395,0.980448247441755,0.794337903198443,0.604778110980988,1.39911601417943,0.4293517073,"forest"
